"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Pause test.

    A graceful simultaneous restart of all instances,
    check primary election after the start, write and read data
    ","168782","test_cluster_pause","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_self_healing_stop_all","",""
"Test rejoin invalidated cluster with.","32884","test_rejoin_invalidated_cluster","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_async_replication","",""
"Simple test to ensure that the mysql and data-integrator charms get deployed.","148535","test_build_and_deploy","tests.integration.integration.roles","2026-03-18","passed","2026-03-18","","test_database_dba_role","",""
"Test to restore a backup on a new mysql cluster.","444889","test_restore_on_new_cluster","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_backup_gcp","",""
"Reboot a single unit and ensure it comes back online.","21679","test_reboot_1_of_3_units","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_vm_reboot","",""
"Build the mysql charm and deploy it.","134330","test_build_and_deploy","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_replication_variables","",""
"Relate charms and wait for the expected changes in status.","3443","test_relation_creation","tests.integration.integration.relations","2026-03-18","passed","2026-03-18","","test_database","",""
"Test the charmed_dml role.","48971","test_charmed_dml_role","tests.integration.integration.roles","2026-03-18","passed","2026-03-18","","test_instance_roles","",""
"Test switchover on primary cluster fail.","282843","test_failover","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_async_replication","",""
"Simple test to ensure that the MySQL and application charms get deployed.","144091","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_self_healing_node_drain","",""
"Test an upgrade failure and its rollback.","","test_fail_and_rollback","tests.integration.integration.high_availability","","unknown","","","test_upgrade","",""
"Rotate password and confirm changes.","10247","test_password_rotation_silent","tests.integration.integration.relations","2026-03-18","passed","2026-03-18","","test_database","",""
"Rotate password for root user and confirm changes.","14611","test_password_rotation_root_user","tests.integration.integration.relations","2026-03-18","passed","2026-03-18","","test_database","",""
"Test to restore a backup on a new mysql cluster.","389811","test_restore_on_new_cluster","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_backup_ceph","",""
"Build the mysql charm and deploy it with 3 units.","136918","test_build_and_deploy","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_password_validation","",""
"Test that a password with less than 24 characters fails.","11459","test_password_too_long_fails","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_password_validation","",""
"Test the promote-to-primary command after losing the majority of nodes, with force flag.","244808","test_cluster_failover_after_majority_loss","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_primary_switchover","",""
"Simple test to ensure that the mysql and data-integrator charms get deployed.","140538","test_build_and_deploy","tests.integration.integration.roles","2026-03-18","passed","2026-03-18","","test_instance_roles","",""
"Test to create a backup and list backups.","54292","test_backup","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_backup_gcp","",""
"Update the second cluster.","","test_upgrade_from_edge","tests.integration.integration.high_availability","","unknown","","","test_upgrade","",""
"Simple test to ensure that the MySQL and application charms get deployed.","","test_deploy_latest","tests.integration.integration.high_availability","","unknown","","","test_upgrade","",""
"Upgrade the two MySQL clusters.","670443","test_upgrade_from_edge","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_async_replication_upgrade","",""
"Simple test to ensure that the MySQL and application charms get deployed.","147363","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_self_healing_pod","",""
"Build the charm and deploy 3 units to ensure a cluster is formed.","8854","test_build_and_deploy","tests.integration.integration.relations","2026-03-18","passed","2026-03-18","","test_database","",""
"Test that data is preserved during scale up and scale down.","227357","test_scaling_without_data_loss","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_replication_scaling","",""
"Simple test to ensure that the MySQL and application charms get deployed.","1211834","test_deploy_highly_available_cluster_2","tests.integration.integration.high_availability","2026-03-18","broken","2026-03-18","","test_replication_unit_endpoints","",""
"Build the mysql charm and deploy it.","132340","test_build_and_deploy","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_charm","",""
"Build the charm and deploy 1 units to ensure a cluster is formed.","6611","test_build_and_deploy","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_saturate_max_connections","",""
"Test to write to primary, and read the same data back from replicas.","24713","test_data_replication","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_async_replication","",""
"Simple test to ensure that the mysql charm gets deployed.","170584","test_build_and_deploy","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_backup_gcp","",""
"Test the DBA predefined role.","24723","test_charmed_dba_role","tests.integration.integration.roles","2026-03-18","passed","2026-03-18","","test_instance_dba_role","",""
"Simple test to ensure that the MySQL and application charms get deployed.","135375","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_replication_logs_rotation","",""
"Scale database and routers.","983338","test_scale_out","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_multi_relations","",""
"Test for encryption enablement when relation to TLS charm.","46113","test_enable_tls","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_tls","",""
"Simple test to ensure that the MySQL and application charms get deployed.","151359","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_self_healing_stop_primary","",""
"Deploy the test application.","95226","test_deploy_test_app","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_async_replication_upgrade","",""
"Simple test to ensure that the MySQL and application charms get deployed.","137523","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_self_healing_stop_all","",""
"Simple test to ensure that the mysql charm gets deployed.","192307","test_build_and_deploy","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_backup_ceph","",""
"Simple test to ensure that the MySQL application charms get deployed.","195621","test_build_and_deploy","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_async_replication","",""
"Test the database-level DBA role.","41117","test_charmed_dba_role","tests.integration.integration.roles","2026-03-18","passed","2026-03-18","","test_database_dba_role","",""
"Test that a password with less than 12 characters fails.","9577","test_password_too_short_fails","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_password_validation","",""
"Ensure scaling down to zero and back up works.","176248","test_scale_up_from_zero","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_charm","",""
"Rotate password and confirm changes.","19287","test_password_rotation_root_user_implicit","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_charm","",""
"Test behavior when node drains - pod is evicted and pvs are rotated.","143687","test_pod_eviction_and_pvc_deletion","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_self_healing_node_drain","",""
"The cluster manual re-join test.

    A graceful restart is performed in one of the instances (choosing Primary to make it painful).
    In order to verify that the instance can come back ONLINE, after disabling automatic re-join
    ","160578","test_cluster_manual_rejoin","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_self_healing_restart_graceful","",""
"Build the charm and deploy 1 units to ensure a cluster is formed.","170398","test_build_and_deploy","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_multi_relations","",""
"Check read-only-endpoints are correctly updated.","790636","test_read_only_endpoints","tests.integration.integration.relations","2026-03-18","passed","2026-03-18","","test_database","",""
"Test to create a backup and list backups.","55349","test_backup","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_backup_ceph","",""
"Simple test to ensure that the MySQL and application charms get deployed.","156639","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_replication_data_isolation","",""
"Remove one out of multiple relation and check expected connectivity.","55878","test_relation_broken_connectivity","tests.integration.integration.relations","2026-03-18","passed","2026-03-18","","test_database","",""
"Relate the two MySQL clusters.","47406","test_async_relate","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_async_replication_upgrade","",""
"Simple test to ensure that the MySQL and application charms get deployed.","157224","test_deploy_highly_available_cluster_1","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_replication_unit_endpoints","",""
"Build and deploy for GCP.","","test_build_and_deploy_gcp","tests.integration.integration","","unknown","","","test_backup_pitr_gcp","",""
"Tries deploying an amd64 charm on arm64 host.","0","test_amd_charm_on_arm_host","tests.integration.integration","2026-03-18","skipped","2026-03-18","","test_architecture","",""
"Relate the database to the application.","45038","test_integrate_with_spaces","tests.integration.integration.spaces","2026-03-18","passed","2026-03-18","","test_spaced_db","",""
"Test to send a SIGKILL to the primary db process and ensure that the cluster self heals.","76260","test_kill_db_process","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_self_healing_process_killed","",""
"Test that the pre-upgrade-check action runs successfully.","","test_pre_upgrade_check","tests.integration.integration.high_availability","","unknown","","","test_upgrade","",""
"Test to write to primary, and read the same data back from replicas.","18269","test_data_replication","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_async_replication_upgrade","",""
"Test that the primary node can be switched over.","21463","test_cluster_switchover","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_primary_switchover","",""
"Simple test to ensure that the MySQL and application charms get deployed.","147076","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_self_healing_process_killed","",""
"Test the log rotation of text files.","5140","test_log_rotation","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_replication_logs_rotation","",""
"Remove relation and wait for the expected changes in status.","33304","test_relation_broken","tests.integration.integration.relations","2026-03-18","passed","2026-03-18","","test_database","",""
"Scale database and routers.","253579","test_scale_in","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_multi_relations","",""
"Relate charms before they have time to properly start.

    It simulates a Terraform-like deployment strategy
    ","162022","test_relation_creation_eager","tests.integration.integration.relations","2026-03-18","passed","2026-03-18","","test_database","",""
"Rotate password and confirm changes.","15608","test_password_rotation","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_charm","",""
"Tries deploying an arm64 charm on amd64 host.","26011","test_arm_charm_on_amd_host","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_architecture","",""
"Test the labeling of k8s endpoints when apps with same cluster-name deployed.","","test_labeling_of_k8s_endpoints","tests.integration.integration.high_availability","","unknown","","","test_replication_unit_endpoints","",""
"Simple test to ensure that the MySQL and application charms get deployed.","349055","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_replication_variables","",""
"Simple test to ensure that the mysql charm gets deployed.","173801","test_build_and_deploy","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_backup_aws","",""
"Run the create-replication action and wait for the applications to settle.","249962","test_create_replication","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_async_replication","",""
"Pitr tests.","","test_pitr_gcp","tests.integration.integration","","unknown","","","test_backup_pitr_gcp","",""
"Reboot 2 units and ensure they come back online.","27646","test_reboot_2_of_3_units","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_vm_reboot","",""
"","31073","test_disable_tls","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_tls","",""
"Test to send SIGTERM to primary instance and then verify recovery.","0","test_graceful_crash_of_primary","tests.integration.integration.high_availability","2026-03-18","skipped","2026-03-18","","test_self_healing_stop_primary","",""
"Test primary crash during startup.

    It must recover/end setup when the primary got offline.
    ","247148","test_crash_during_cluster_setup","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_self_healing_setup_crash","",""
"Test for cluster data isolation.

    This test creates a new cluster, create a new table on both cluster, write a single record with
    the application name for each cluster, retrieve and compare these records, asserting they are
    not the same.
    ","90339","test_cluster_data_isolation","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_replication_data_isolation","",""
"Test for a network cut affecting an instance.","174370","test_network_cut_affecting_an_instance","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_self_healing_network_cut","",""
"Rotate password and confirm changes.","17744","test_password_rotation_silent","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_charm","",""
"Test that a valid password with 12 chars, mixed case and numbers succeeds.","11753","test_password_valid_succeeds","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_password_validation","",""
"Confirm storage reuse works.","161155","test_scale_up_after_scale_down","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_charm","",""
"Simple test to ensure that the MySQL and application charms get deployed.","141616","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_self_healing_network_cut","",""
"Test a forceful restart with deleted data and without transaction logs (forced clone).","119536","test_sst_test","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_self_healing_restart_forceful","",""
"Delete the pod in a single unit deployment and write data to new pod.","678083","test_single_unit_pod_delete","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_self_healing_pod","",""
"Build the charm and deploy 3 units to ensure a cluster is formed.","127414","test_build_and_deploy","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_tls","",""
"Confirm that a new primary is elected when the current primary is tear down.","394839","test_kill_primary_check_reelection","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_replication_reelection","",""
"Simple test to ensure that the MySQL and application charms get deployed.","146871","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_self_healing_process_frozen","",""
"Completely cut and restore network.","577773","test_network_cut","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_self_healing_network_cut","",""
"Run the create-replication action and wait for the applications to settle.","213656","test_create_replication","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_async_replication_upgrade","",""
"Test that endpoints are running.","4943","test_exporter_endpoints","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_charm","",""
"Verify rotating tls private keys restarts cluster with new certificates.

    This test rotates tls private keys to randomly generated keys.
    ","46192","test_rotate_tls_key","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_tls","",""
"Simple test to ensure that the MySQL and application charms get deployed.","149097","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_replication_reelection","",""
"Simple test to ensure that the MySQL and application charms get deployed.","145987","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_replication_data_consistency","",""
"Test that a password with only lowercase letters fails.","9592","test_password_only_lowercase_fails","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_password_validation","",""
"Simple test to ensure that the MySQL and application charms get deployed.","145941","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_replication_scaling","",""
"Test to restore a backup to the same mysql cluster.","224967","test_restore_on_same_cluster","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_backup_ceph","",""
"Simple test to ensure that the MySQL application charms get deployed.","201666","test_build_and_deploy","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_async_replication_upgrade","",""
"Test removing and re-relating the two mysql clusters.","519013","test_unrelate_and_relate","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_async_replication","",""
"Test graceful promotion of a standby cluster to primary.","51355","test_standby_promotion","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_async_replication","",""
"","145974","test_landscape_client","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_subordinate_charms","",""
"Simple test to ensure that the MySQL and application charms get deployed.","354804","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_replication_unit_endpoints","",""
"Build the charm and deploy 3 units to ensure a cluster is formed.","268759","test_build_and_deploy","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_vm_reboot","",""
"Pitr tests.","","test_pitr_aws","tests.integration.integration","","unknown","","","test_backup_pitr_aws","",""
"Test to restore a backup to the same mysql cluster.","223005","test_restore_on_same_cluster","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_backup_gcp","",""
"Simple test to ensure that the MySQL and application charms get deployed.","152246","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_primary_switchover","",""
"Relate all the applications to the database.","124149","test_relate_all","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_multi_relations","",""
"Query database for custom variables.","22960","test_custom_variables","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_replication_variables","",""
"","201682","test_ubuntu_pro","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_subordinate_charms","",""
"Rotate password and confirm changes.","13291","test_password_rotation","tests.integration.integration.relations","2026-03-18","passed","2026-03-18","","test_database","",""
"Test COS integrations formed before mysql is allocated and deployed.","95189","test_deploy_bundle_with_cos_integrations","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_cos_integration_bundle","",""
"Simple test to ensure that the MySQL and application charms get deployed.","66443","test_deploy_single_unit_cluster","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_self_healing_setup_crash","",""
"","71157","test_deploy_and_relate_test_app","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_saturate_max_connections","",""
"Reboot all 3 units and ensure they come back online.","688386","test_reboot_3_of_3_units","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_vm_reboot","",""
"Relate the two MySQL clusters.","46157","test_async_relate","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_async_replication","",""
"Test the charmed_read predefined role.","32043","test_charmed_read_role","tests.integration.integration.roles","2026-03-18","passed","2026-03-18","","test_instance_roles","",""
"Simple test to ensure that the mysql and data-integrator charms get deployed.","146154","test_build_and_deploy","tests.integration.integration.roles","2026-03-18","passed","2026-03-18","","test_instance_dba_role","",""
"Deploy the router and the test application.","185326","test_deploy_router_and_app","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_async_replication","",""
"Build the charm and deploy 3 units to ensure a cluster is formed.","451971","test_build_and_deploy","tests.integration.integration.spaces","2026-03-18","passed","2026-03-18","","test_spaced_db","",""
"Test to send a SIGSTOP to the primary db process and ensure that the cluster self heals.","258269","test_freeze_db_process","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_self_healing_process_frozen","",""
"Test to restore a backup on a new mysql cluster.","416492","test_restore_on_new_cluster","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_backup_aws","",""
"Relate the database to the application.","579917","test_integrate_with_isolated_space","tests.integration.integration.spaces","2026-03-18","passed","2026-03-18","","test_spaced_db","",""
"Pause test.

    A graceful simultaneous restart of all instances,
    check primary election after the start, write and read data
    ","0","test_graceful_full_cluster_crash","tests.integration.integration.high_availability","2026-03-18","skipped","2026-03-18","","test_self_healing_stop_all","",""
"Simple test to ensure that the MySQL and application charms get deployed.","339490","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_self_healing_restart_forceful","",""
"Build and deploy for AWS.","","test_build_and_deploy_aws","tests.integration.integration","","unknown","","","test_backup_pitr_aws","",""
"Ensure connections (with and without ssl) are possible before relating with TLS operator.","2551","test_connection_before_tls","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_tls","",""
"Test that endpoints are running.","100084","test_exporter_endpoints","tests.integration.integration.high_availability","2026-03-18","passed","2026-03-18","","test_replication_unit_endpoints","",""
"Test to restore a backup to the same mysql cluster.","226501","test_restore_on_same_cluster","tests.integration.integration","2026-03-18","passed","2026-03-18","","test_backup_aws","",""
