"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Integrate MySQL Router with MySQL and verify they work.","94318","test_integrate_mysql_router_and_test_app","tests.integration.integration.roles","2026-07-21","passed","2026-07-21","","test_predefined_roles_refresh","",""
"Simple test to ensure that the MySQL and application charms get deployed.","527765","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_self_healing_network_cut","",""
"Test that the pre-upgrade-check action runs successfully.","","test_pre_upgrade_check","tests.integration.integration.high_availability","","unknown","","","test_upgrade_from_stable","",""
"Simple test to ensure that the MySQL application charms get deployed.","688973","test_build_and_deploy","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_async_replication_upgrade","",""
"Simple test to ensure that the MySQL and application charms get deployed.","649306","test_deploy_latest","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_upgrade","",""
"Deploy the test application.","163431","test_deploy_test_app","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_async_replication_upgrade","",""
"Simple test to ensure that the MySQL and application charms get deployed.","451969","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_primary_switchover","",""
"Run the create-replication action and wait for the applications to settle.","173969","test_create_replication","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_async_replication","",""
"Rotate password and confirm changes.","16223","test_password_rotation","tests.integration.integration","2026-07-21","passed","2026-07-21","","test_charm","",""
"Relate the two MySQL clusters.","71873","test_async_relate","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_async_replication_upgrade","",""
"","247110","test_deploy_and_relate_test_app","tests.integration.integration","2026-07-21","passed","2026-07-21","","test_saturate_max_connections","",""
"Build the charm and deploy 3 units to ensure a cluster is formed.","356624","test_build_and_deploy","tests.integration.integration","2026-07-21","passed","2026-07-21","","test_vm_reboot","",""
"Test behavior when node drains - pod is evicted and pvs are rotated.","124031","test_pod_eviction_and_pvc_deletion","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_self_healing_node_drain","",""
"Rotate password and confirm changes.","16210","test_password_rotation_silent","tests.integration.integration","2026-07-21","passed","2026-07-21","","test_charm","",""
"Simple test to ensure that the MySQL and application charms get deployed.","549916","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_replication_data_consistency","",""
"Relate all the applications to the database.","129987","test_relate_all","tests.integration.integration","2026-07-21","passed","2026-07-21","","test_multi_relations","",""
"Scale database and routers.","873690","test_scale_out","tests.integration.integration","2026-07-21","passed","2026-07-21","","test_multi_relations","",""
"Test that the primary node can be switched over.","10397","test_cluster_switchover","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_primary_switchover","",""
"Stop server, write data, start and validate replication.","52352","test_replicate_data_on_restart","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_self_healing_stop_primary","",""
"Test that the pre-upgrade-check action runs successfully.","16841","test_pre_upgrade_check","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_upgrade","",""
"Simple test to ensure that the mysql and data-integrator charms get deployed.","338946","test_build_and_deploy","tests.integration.integration.roles","2026-07-21","passed","2026-07-21","","test_instance_dba_role","",""
"Relate charms and wait for the expected changes in status.","26988","test_relation_creation","tests.integration.integration.relations","2026-07-21","passed","2026-07-21","","test_relation_mysql_legacy","",""
"Test the instance-level charmed_dml role.","64051","test_charmed_dml_role","tests.integration.integration.roles","2026-07-21","passed","2026-07-21","","test_instance_roles","",""
"Query database for custom variables.","7034","test_custom_variables","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_replication_variables","",""
"Build the charm and deploy 1 units to ensure a cluster is formed.","205424","test_build_and_deploy","tests.integration.integration","2026-07-21","passed","2026-07-21","","test_multi_relations","",""
"Simple test to ensure that the MySQL and application charms get deployed.","555874","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_self_healing_restart_forceful","",""
"Test for a network cut affecting an instance.","157877","test_network_cut_affecting_an_instance","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_self_healing_network_cut","",""
"Remove one out of multiple relation and check expected connectivity.","58670","test_relation_broken_connectivity","tests.integration.integration.relations","2026-07-21","passed","2026-07-21","","test_database","",""
"Test for cluster data isolation.

    This test creates a new cluster, create a new table on both cluster, write a single record with
    the application name for each cluster, retrieve and compare these records, asserting they are
    not the same.
    ","223229","test_cluster_data_isolation","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_replication_data_isolation","",""
"Test the promote-to-primary command after losing the majority of nodes, with force flag.","156650","test_cluster_failover_after_majority_loss","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_primary_switchover","",""
"Simple test to ensure that the mysql charm gets deployed.","511932","test_build_and_deploy","tests.integration.integration","2026-07-21","passed","2026-07-21","","test_backup_gcp","",""
"Test to create a backup and list backups.","73747","test_backup","tests.integration.integration","2026-07-21","passed","2026-07-21","","test_backup_gcp","",""
"Rotate password for root user and confirm changes.","11012","test_password_rotation_root_user","tests.integration.integration.relations","2026-07-21","passed","2026-07-21","","test_database","",""
"Relate the database to the application.","59737","test_integrate_with_spaces","tests.integration.integration.spaces","2026-07-21","passed","2026-07-21","","test_spaced_db","",""
"Simple test to ensure that the MySQL and application charms get deployed.","581398","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_self_healing_stop_primary","",""
"Simple test to ensure that the MySQL and application charms get deployed.","568272","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_self_healing_safe_recover_quorum","",""
"Test switchover on primary cluster fail.","299266","test_failover","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_async_replication","",""
"Simple test to ensure that the MySQL and application charms get deployed.","186345","test_deploy_highly_available_cluster_2","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_replication_unit_endpoints","",""
"Test the labeling of k8s endpoints when apps with same cluster-name deployed.","2217","test_labeling_of_k8s_endpoints","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_replication_unit_endpoints","",""
"Simple test to ensure that the MySQL and application charms get deployed.","469216","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_replication_unit_endpoints","",""
"Tries deploying an arm64 charm on amd64 host.","96732","test_arm_charm_on_amd_host","tests.integration.integration","2026-07-21","passed","2026-07-21","","test_architecture","",""
"Rotate password and confirm changes.","10974","test_password_rotation","tests.integration.integration.relations","2026-07-21","passed","2026-07-21","","test_database","",""
"Test removing and re-relating the two mysql clusters.","458501","test_unrelate_and_relate","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_async_replication","",""
"Build the charm and deploy 3 units to ensure a cluster is formed.","499444","test_build_and_deploy","tests.integration.integration.relations","2026-07-21","passed","2026-07-21","","test_database","",""
"Confirm that data is replicated from the primary node to all the replicas.","29097","test_consistent_data_replication_across_cluster","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_replication_data_consistency","",""
"Upgrade the two MySQL clusters.","601111","test_upgrade_from_edge","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_async_replication_upgrade","",""
"Pitr tests.","249036","test_pitr_aws","tests.integration.integration","2026-07-21","passed","2026-07-21","","test_backup_pitr_aws","",""
"Simple test to ensure that the MySQL and application charms get deployed.","565727","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_replication_logs_rotation","",""
"Build the charm and deploy 3 units to ensure a cluster is formed.","428335","test_build_and_deploy","tests.integration.integration.relations","2026-07-21","passed","2026-07-21","","test_relation_mysql_legacy","",""
"","230442","test_ubuntu_pro","tests.integration.integration","2026-07-21","passed","2026-07-21","","test_subordinate_charms","",""
"Test rejoin invalidated cluster with.","52489","test_rejoin_invalidated_cluster","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_async_replication","",""
"Test safe auto-recover after quorum loss.","467627","test_auto_recover_on_quorum_loss","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_self_healing_safe_recover_quorum","",""
"Test to write to primary, and read the same data back from replicas.","21536","test_data_replication","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_async_replication_upgrade","",""
"Confirm storage reuse works.","161738","test_scale_up_after_scale_down","tests.integration.integration","2026-07-21","passed","2026-07-21","","test_charm","",""
"Pause test.

    A graceful simultaneous restart of all instances,
    check primary election after the start, write and read data
    ","192822","test_cluster_pause","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_self_healing_stop_all","",""
"Simple test to ensure that the MySQL and application charms get deployed.","545562","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_replication_scaling","",""
"Simple test to ensure that the MySQL and application charms get deployed.","535462","test_deploy_highly_available_cluster","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_self_healing_process_frozen","",""
"Remove relation and wait for the expected changes in status.","16772","test_relation_broken","tests.integration.integration.relations","2026-07-21","passed","2026-07-21","","test_relation_mysql_legacy","",""
"Test that exporter endpoints are running.","2474","test_exporter_endpoints","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_replication_unit_endpoints","",""
"Simple test to ensure that the MySQL and application charms get deployed.","","test_deploy_stable","tests.integration.integration.high_availability","","unknown","","","test_upgrade_from_stable","",""
"Delete the pod in a single unit deployment and write data to new pod.","468907","test_single_unit_pod_delete","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_self_healing_pod","",""
"Test that exporter endpoints are running by default.","1237","test_exporter_endpoints","tests.integration.integration","2026-07-21","passed","2026-07-21","","test_charm","",""
"Simple test to ensure that the MySQL and application charms get deployed.","174881","test_deploy_highly_available_cluster_1","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_replication_unit_endpoints","",""
"Reboot all 3 units and ensure they come back online.","321126","test_reboot_3_of_3_units","tests.integration.integration","2026-07-21","passed","2026-07-21","","test_vm_reboot","",""
"Freeze and unfreeze process and check for auto cluster recovery.","72413","test_freeze_db_process","tests.integration.integration.high_availability","2026-07-21","passed","2026-07-21","","test_self_healing_process_frozen","",""
"Deploy 3 units cluster to ensure and 2 unit mysql-test-app.","8492","test_build_and_deploy","tests.integration.integration.relations","2026-07-21","passed","2026-07-21","","test_mysql_root","",""
"Test to create a backup and list backups.","67954","test_backup","tests.integration.integration","2026-07-21","passed","2026-07-21","","test_backup_ceph","",""
"Build the charm and deploy 3 units to ensure a cluster is formed.","562504","test_build_and_deploy","tests.integration.integration.spaces","2026-07-21","passed","2026-07-21","","test_spaced_db","",""
"Deploy the keystone bundle to test the 'shared-db' relation.

    Args:
        juju: The Juju instance
    ","1948155","test_keystone_bundle_shared_db","tests.integration.integration.relations","2026-07-21","passed","2026-07-21","","test_shared_db","",""
"Relate charms and wait for the expected changes in status (using juju secrets).","74852","test_relation_creation","tests.integration.integration.relations","2026-07-21","passed","2026-07-21","","test_database","",""
"","238215","test_landscape_client","tests.integration.integration","2026-07-21","passed","2026-07-21","","test_subordinate_charms","",""
"Remove relation and wait for the expected changes in status.","14417","test_relation_broken","tests.integration.integration.relations","2026-07-21","passed","2026-07-21","","test_database","",""
